Sim_step,lamda_xx,lamda_yy,lamda_zz,lamda_yz,lamda_xz,lamda_xy
1.51,-0.0181,-0.0063,0.0205,-0.0112,0.0048,-0.0041
1.52,-0.018,-0.0063,0.0205,-0.0112,0.0048,-0.0041
1.53,-0.0178,-0.0062,0.0202,-0.0111,0.0047,-0.0041
1.54,-0.0178,-0.0062,0.0203,-0.0111,0.0048,-0.0041
1.55,-0.0175,-0.0061,0.0199,-0.0109,0.0046,-0.004
1.56,-0.0178,-0.0062,0.0203,-0.0111,0.0048,-0.0041
1.57,-0.0177,-0.0062,0.02,-0.011,0.0047,-0.0041
1.58,-0.0176,-0.0061,0.02,-0.011,0.0046,-0.0041
1.59,-0.0168,-0.0059,0.0191,-0.0105,0.0043,-0.004
1.6,-0.017,-0.006,0.0194,-0.0107,0.0045,-0.0041
1.61,-0.0159,-0.0056,0.018,-0.0098,0.0039,-0.0039
1.62,-0.0159,-0.0056,0.0182,-0.01,0.004,-0.004
1.63,-0.0147,-0.0052,0.0167,-0.0091,0.0035,-0.0037
1.64,-0.0143,-0.0051,0.0164,-0.009,0.0035,-0.0039
1.65,-0.0128,-0.0045,0.0146,-0.008,0.0029,-0.0036
1.66,-0.0119,-0.0042,0.0138,-0.0076,0.0028,-0.0035
1.67,-0.0091,-0.0032,0.0104,-0.0058,0.0019,-0.0028
1.68,-0.007,-0.0024,0.008,-0.0046,0.0015,-0.0023
1.69,-0.0033,-0.0011,0.0037,-0.0021,0.0006,-0.0011
1.7,-0.0018,-0.0006,0.0021,-0.0013,0.0003,-0.0007
1.71,-0.0002,-1e-04,0.0002,-0.0002,0.0,-1e-04
1.72,-0.0005,-1e-04,0.0005,-0.0004,1e-04,-0.0002
1.73,-0.0002,-1e-04,0.0002,-0.0002,1e-04,-1e-04
1.74,-0.0003,-1e-04,0.0004,-0.0003,1e-04,-1e-04
1.75,-0.0003,-1e-04,0.0003,-0.0002,1e-04,-1e-04
1.76,-0.0003,-1e-04,0.0004,-0.0003,1e-04,-1e-04
1.77,-0.0003,-1e-04,0.0003,-0.0002,1e-04,-1e-04
1.78,-0.0003,-1e-04,0.0004,-0.0003,1e-04,-1e-04
1.79,-0.0003,-1e-04,0.0003,-0.0002,1e-04,-1e-04
1.8,-0.0003,-1e-04,0.0004,-0.0003,1e-04,-1e-04
1.81,-0.0003,-1e-04,0.0003,-0.0002,1e-04,-1e-04
1.82,-0.0003,-1e-04,0.0004,-0.0002,1e-04,-1e-04
1.83,-0.0003,-1e-04,0.0003,-0.0002,1e-04,-1e-04
1.84,-0.0003,-1e-04,0.0004,-0.0002,1e-04,-1e-04
1.85,-0.0003,-1e-04,0.0003,-0.0002,1e-04,-1e-04
1.86,-0.0003,-1e-04,0.0003,-0.0002,1e-04,-1e-04
1.87,-0.0003,-1e-04,0.0003,-0.0002,1e-04,-1e-04
1.88,-0.0003,-1e-04,0.0003,-0.0002,1e-04,-1e-04
1.89,-0.0003,-1e-04,0.0003,-0.0002,1e-04,-1e-04
1.9,-0.0003,-1e-04,0.0003,-0.0002,1e-04,-1e-04
1.91,-0.0003,-1e-04,0.0003,-0.0002,1e-04,-1e-04
1.92,-0.0003,-1e-04,0.0003,-0.0002,1e-04,-1e-04
1.93,-0.0003,-1e-04,0.0003,-0.0002,1e-04,-1e-04
1.94,-0.0003,-1e-04,0.0003,-0.0002,1e-04,-1e-04
1.95,-0.0003,-1e-04,0.0003,-0.0002,1e-04,-1e-04
1.96,-0.0003,-1e-04,0.0003,-0.0002,1e-04,-1e-04
1.97,-0.0003,-1e-04,0.0003,-0.0002,1e-04,-1e-04
1.98,-0.0003,-1e-04,0.0003,-0.0002,1e-04,-1e-04
1.99,-0.0003,-1e-04,0.0003,-0.0002,1e-04,-1e-04
2.0,-0.0003,-1e-04,0.0003,-0.0002,1e-04,-1e-04
2.01,-0.0003,-1e-04,0.0003,-0.0002,1e-04,-1e-04
2.02,-0.0003,-1e-04,0.0003,-0.0002,1e-04,-1e-04
2.03,-0.0,-0.0,1e-04,-0.0,0.0,-0.0
2.04,0.0,0.0,-0.0,0.0,-0.0,0.0
2.05,0.0002,1e-04,-0.0003,0.0002,-1e-04,1e-04
2.06,0.0002,1e-04,-0.0003,0.0002,-1e-04,1e-04
2.07,0.0003,1e-04,-0.0004,0.0003,-1e-04,1e-04
2.08,0.0003,1e-04,-0.0003,0.0002,-1e-04,1e-04
2.09,0.0003,1e-04,-0.0004,0.0003,-1e-04,1e-04
2.1,0.0003,1e-04,-0.0004,0.0003,-1e-04,1e-04
2.11,0.0003,1e-04,-0.0004,0.0003,-1e-04,1e-04
2.12,0.0003,1e-04,-0.0004,0.0003,-1e-04,1e-04
2.13,0.0003,1e-04,-0.0004,0.0003,-1e-04,1e-04
2.14,0.0003,1e-04,-0.0004,0.0003,-1e-04,1e-04
2.15,0.0003,1e-04,-0.0004,0.0003,-1e-04,1e-04
2.16,0.0003,1e-04,-0.0004,0.0003,-1e-04,1e-04
2.17,0.0003,1e-04,-0.0004,0.0003,-1e-04,1e-04
2.18,0.0003,1e-04,-0.0004,0.0003,-1e-04,1e-04
2.19,0.0003,1e-04,-0.0004,0.0003,-1e-04,1e-04
2.2,0.0003,1e-04,-0.0004,0.0003,-1e-04,1e-04
2.21,0.0003,1e-04,-0.0004,0.0003,-1e-04,1e-04
2.22,0.0003,1e-04,-0.0004,0.0003,-1e-04,1e-04
2.23,0.0003,1e-04,-0.0004,0.0003,-1e-04,1e-04
2.24,0.0003,1e-04,-0.0004,0.0003,-1e-04,1e-04
2.25,0.0003,1e-04,-0.0004,0.0003,-1e-04,1e-04
2.26,0.0003,1e-04,-0.0004,0.0003,-1e-04,1e-04
2.27,0.0003,1e-04,-0.0004,0.0003,-1e-04,1e-04
2.28,0.0003,1e-04,-0.0004,0.0003,-1e-04,1e-04
2.29,0.0003,1e-04,-0.0004,0.0003,-1e-04,1e-04
