Fiber 2_right: Idx,x (mm),y (mm),z (mm),Cutting plane x
76,10.02514210645515,3.340959508735601,5.602394820473491,1.1
77,9.4140828233113,4.791974977351464,5.649872742680894,1.1
78,8.59446532376567,6.135606505247654,5.697350664888297,1.1
79,7.584629227242493,7.342101169396329,5.744828587095698,1.1
80,6.407124154845097,8.384771062787612,5.792306509303101,1.1
81,5.088206212166221,9.240583627391985,5.839784431510504,1.1
82,3.657252538372837,9.890670428799694,5.887262353717906,1.1
83,2.146106975559484,10.32074313434171,5.934740275925309,1.1
84,1.1,10.4740708409043,5.966735196858711,1.1
85,1.1,8.577171861055476,6.063605951416438,1.1
86,1.1,6.680272881206654,6.1604767059741645,1.1
87,1.1,4.783373901357832,6.257347460531893,1.1
88,1.1,2.8864749215090084,6.35421821508962,1.1
89,1.1,0.9895759416601848,6.451088969647348,1.1
90,1.1,-0.9073230381886361,6.547959724205075,1.1
91,1.1,-2.8042220180374597,6.6448304787628025,1.1
92,1.1,-4.701120997886283,6.74170123332053,1.1
93,1.1,-6.598019977735107,6.838571987878257,1.1
94,1.1,-8.49491895758393,6.935442742435985,1.1
95,1.1,-10.391817937432752,7.032313496993712,1.1
96,2.4150958374048237,-10.170675994241229,7.074210408902968,1.1
97,3.898313813919677,-9.695453393086977,7.12168833111037,1.1
98,5.293952908767944,-9.005336506845472,7.169166253317773,1.1
99,6.571092687983455,-8.115796122808174,7.216644175525175,1.1
100,7.70146502767642,-7.0467192348383,7.264122097732578,1.1
101,8.660079792036106,-5.821964460185231,7.311600019939981,1.1
102,9.425777301281459,-4.468829599178292,7.359077942147382,1.1
103,9.981695376151704,-3.01744321970325,7.406555864354785,1.1
104,10.315640650533592,-1.500093826692387,7.454033786562188,1.1
105,10.420355976340524,0.04948844703701345,7.50151170876959,1.1
106,10.293678057287616,1.596881648717012,7.548989630976992,1.1
107,9.938581889280913,3.107736644412268,7.596467553184395,1.1
108,9.363111100472167,4.548539603199664,7.6439454753917975,1.1
109,8.580195817729686,5.887355401077305,7.6914233975992,1.1
110,7.607362182077713,7.094535454433713,7.738901319806603,1.1
111,6.466340038178139,8.14337429419429,7.7863792420140046,1.1
112,5.182577578898844,9.010700340782371,7.833857164221407,1.1
113,3.7846737854501455,9.677387811037718,7.88133508642881,1.1
114,2.3037413208921103,10.128778448339533,7.9288130086362125,1.1
115,1.1,10.316667427255064,7.966735196858711,1.1
116,1.1,8.44838724988792,8.063605951416438,1.1
117,1.1,6.580107072520777,8.160476705974165,1.1
118,1.1,4.711826895153633,8.257347460531893,1.1
119,1.1,2.8435467177864897,8.35421821508962,1.1
120,1.1,0.9752665404193461,8.451088969647348,1.1
121,1.1,-0.8930136369477957,8.547959724205075,1.1
122,1.1,-2.7612938143149397,8.644830478762803,1.1
123,1.1,-4.629573991682085,8.74170123332053,1.1
124,1.1,-6.497854169049227,8.838571987878257,1.1
125,1.1,-8.366134346416372,8.935442742435987,1.1
126,1.1,-10.234414523783514,9.032313496993712,1.1
127,2.1925054381020317,-10.063361416518656,9.068283141613872,1.1
128,3.6623111226709324,-9.6223832509715,9.115761063821274,1.1
129,5.049771294985733,-8.968114520634238,9.163238986028677,1.1
130,6.324144418396053,-8.115231263988898,9.21071690823608,1.1
131,7.457221304271169,-7.082808152461925,9.25819483044348,1.1
132,8.423949536827434,-5.893891908235983,9.305672752650883,1.1
133,9.202987373429684,-4.574986847612801,9.353150674858286,1.1
134,9.777174874055302,-3.155464033490699,9.400628597065689,1.1
135,10.13391185987256,-1.6669072082287968,9.448106519273091,1.1
