Fiber 1: Spring Idx,x (mm),y (mm),z (mm)
71,8.967573823097354,-5.9094158167803705,3.3709324767255753
72,8.499438346464837,-6.558914059227857,3.418410398932978
73,7.984385676097776,-7.171516464264804,3.46588832114038
74,7.425310469163247,-7.74384346080534,3.513366243347783
75,6.82535008782858,-8.272741642366912,3.560844165555185
76,6.187866994860763,-8.755301140301231,3.6083220877625877
77,5.51642991001213,-9.18887163142834,3.6558000099699903
78,4.814793832787321,-9.57107689202316,3.7032779321773925
79,4.0868790434161575,-9.899827818245008,3.750755854384795
80,3.3367491994608147,-10.17333384168035,3.7982337765921974
81,2.568588650432947,-10.390112677639307,3.8457116987996
82,1.7866790970599176,-10.548998353157511,3.8931896210070023
83,0.9953757253955806,-10.64914747125442,3.940667543214405
84,0.19908294880138663,-10.690043677833687,3.9881454654218076
85,-0.5977701070875036,-10.671500307625731,4.03562338762921
86,-1.3907542399601451,-10.593661195711716,4.0831013098366125
87,-2.1754647899642374,-10.456999651374996,4.130579232044015
88,-2.9475461055349363,-10.26231560124401,4.178057154251417
89,-3.7027157200218164,-10.010730918862862,4.2255350764588195
90,-4.436788104918644,-9.703682967895897,4.273012998666222
91,-5.145697867946494,-9.342916396084368,4.320490920873625
92,-5.825522267417271,-8.930473226771989,4.3679688430810275
93,-6.472502918193602,-8.468681304247985,4.415446765288429
94,-7.083066569140718,-7.9601411582689465,4.462924687495832
95,-7.653844837210173,-7.407711361863611,4.510402609703235
96,-8.181692789174322,-6.814492464849793,4.557880531910637
97,-8.663706268511275,-6.183809593353726,4.60535845411804
98,-9.097237871986199,-5.519193812975981,4.652836376325442
99,-9.479911488047488,-4.82436236005325,4.700314298532844
100,-9.809635317210773,-4.103197851687044,4.747792220740247
101,-10.084613303098683,-3.359726590809393,4.79527014294765
102,-10.303354911687382,-2.5980960875084045,4.842748065155051
103,-10.46468320553731,-1.8225519221082567,4.890225987362454
104,-10.567741169300014,-1.0374140790719169,4.937703909569857
105,-10.611996252544587,-0.2470528836471312,4.985181831777259
106,-10.597243105880565,0.544135324706082,5.032659753984662
107,-10.523604496414347,1.3317526466972665,5.080137676192064
108,-10.39153039870705,2.1114240693711275,5.1276155983994665
109,-10.201795267546919,2.8788217681698463,5.175093520606869
110,-9.955493508952296,3.629689129901151,5.222571442814272
111,-9.654033175826278,4.359864363264742,5.270049365021674
112,-9.299127924534902,5.065303565975649,5.317527287229076
113,-8.892787278323508,5.742103120633753,5.365005209436479
114,-8.437305252866521,6.386521295308821,5.4124831316438815
115,-7.935247408312663,6.99499892931734,5.459961053851284
116,-7.389436400890273,7.564179089835635,5.507438976058687
117,-6.802936115427935,8.090925590793937,5.554916898266089
118,-6.179034467978146,8.572340271895932,5.602394820473491
119,-5.521224975062912,9.005778942571762,5.649872742680894
120,-4.833187192849546,9.388865903160136,5.697350664888297
121,-4.118766135776044,9.719506963584958,5.744828587095698
122,-3.3819507897419694,9.995900888200305,5.792306509303101
123,-2.6268518399352745,10.216549204275404,5.839784431510504
124,-1.8576787376470498,10.38026432073198,5.887262353717906
125,-1.0787162340155783,10.486175913176254,5.934740275925309
126,-0.2943005115146361,10.533735540936652,5.982218198132711
127,0.4912049538530639,10.522719471670184,6.029696120340113
128,1.2734336652918667,10.453229699081936,6.077174042547516
129,2.048040377856629,10.325693149356638,6.124651964754919
130,2.810725236076042,10.14085908197354,6.172129886962321
131,3.557257642472513,9.899794700609345,6.219607809169723
132,4.283499724484551,9.6038789997734,6.267085731377126
133,4.985429269622472,9.25479488260917,6.314563653584528
134,5.659162001735108,8.854519594881939,6.362041575791931
135,6.300973075015988,8.40531352950212,6.409519497999334
136,6.907317666812871,7.909707464953653,6.4569974202067355
137,7.474850555396616,7.3704883096590255,6.504475342414138
138,8.000444574567638,6.790683432567977,6.551953264621541
139,8.481207843297426,6.173543668060057,6.5994311868289435
140,8.91449967548333,5.522525090559376,6.646909109036345
141,9.297945082298318,4.841269661032594,6.694387031243748
142,9.62944778750226,4.133584853741553,6.7418649534511506
143,9.90720168440405,3.403422377214243,6.789342875658553
144,10.129700671876046,2.6548561083543216,6.836820797865956
145,10.29574681587734,1.8920593629003422,6.884298720073358
146,10.404456792288611,1.1192816290484524,6.93177664228076
147,10.455266576446208,0.3408248939489156,6.979254564488163
148,10.447934354534402,-0.4389803050417973,7.026732486695566
149,10.382541641896788,-1.215798971032658,7.074210408902968
150,10.259492603306253,-1.9853157461781825,7.12168833111037
151,10.079511580231905,-2.743258884200929,7.169166253317773
