Fiber 1_left: Idx,x (mm),y (mm),z (mm),Cutting plane x
108,-1.0,-10.318400083957194,8.030257464567057,-1
109,-1.5864544237236162,-10.25621622449662,8.048849736418209,-1
110,-3.8208186813729887,-9.643337937555103,8.120078495147574,-1
111,-5.862386579589301,-8.550492337722627,8.19130725387694,-1
112,-7.609611178561342,-7.032655796343623,8.262536012606303,-1
113,-8.975723465419946,-5.1659280757977655,8.333764771335668,-1
114,-9.893041321944398,-3.0437170282610833,8.404993530065033,-1
115,-10.316322598944076,-0.7720646829812932,8.476222288794398,-1
116,-10.224996188035176,1.5356514089363411,8.547451047523762,-1
117,-9.62416108146273,3.7643768127827397,8.618679806253127,-1
118,-8.544304934178106,5.803116410889886,8.689908564982492,-1
119,-7.03975751724938,7.550462179326355,8.761137323711855,-1
120,-5.185957491596217,8.919637246859109,8.83236608244122,-1
121,-3.0756699947487594,9.842805345085274,8.903594841170586,-1
122,-1.0,10.24702253574991,8.970018717002713,-1
123,-1.0,8.67717490451469,9.051575543738432,-1
124,-1.0,7.107327273279468,9.13313237047415,-1
125,-1.0,5.537479642044247,9.214689197209868,-1
126,-1.0,3.9676320108090275,9.296246023945589,-1
127,-1.0,2.397784379573807,9.377802850681308,-1
128,-1.0,0.8279367483385851,9.459359677417027,-1
129,-1.0,-0.7419108828966365,9.540916504152744,-1
130,-1.0,-2.311758514131855,9.622473330888464,-1
131,-1.0,-3.881606145367075,9.704030157624182,-1
132,-1.0,-5.451453776602297,9.7855869843599,-1
133,-1.0,-7.021301407837518,9.86714381109562,-1
134,-1.0,-8.59114903907274,9.948700637831339,-1
135,-1.0,-10.160996670307958,10.030257464567057,-1
136,-1.3850777813391626,-10.129858186265883,10.04325498084042,-1
137,-3.59651313507266,-9.564782767547674,10.114483739569785,-1
138,-5.626321708612133,-8.523617160559363,10.18571249829915,-1
139,-7.373534442461448,-7.058765132968904,10.256941257028515,-1
140,-8.751375609538126,-5.243690569237458,10.328170015757879,-1
141,-9.691572481994271,-3.1692332985236984,10.399398774487244,-1
142,-10.14773814302424,-0.9390628543754045,10.470627533216609,-1
143,-10.097659837226704,1.3355023121274119,10.541856291945972,-1
144,-9.544379984264467,3.5410512620884598,10.613085050675338,-1
145,-8.516017278760309,5.567735293985808,10.684313809404703,-1
146,-7.0643381531152,7.314739016964219,10.755542568134068,-1
147,-5.2621511536255765,8.695295282888244,10.826771326863431,-1
148,-3.1996553706006825,9.64099451729524,10.898000085592797,-1
149,-1.0,10.089619122100673,10.970018717002713,-1
150,-1.0,8.543987400657645,11.051575543738432,-1
151,-1.0,6.9983556792146135,11.13313237047415,-1
152,-1.0,5.452723957771582,11.214689197209868,-1
153,-1.0,3.907092236328552,11.296246023945589,-1
154,-1.0,2.361460514885522,11.377802850681308,-1
155,-1.0,0.815828793442491,11.459359677417027,-1
156,-1.0,-0.7298029280005398,11.540916504152744,-1
157,-1.0,-2.2754346494435693,11.622473330888464,-1
158,-1.0,-3.8210663708865984,11.704030157624182,-1
159,-1.0,-5.36669809232963,11.7855869843599,-1
160,-1.0,-6.912329813772661,11.86714381109562,-1
161,-1.0,-8.457961535215691,11.948700637831339,-1
162,-1.0,-10.00359325665872,12.030257464567057,-1
163,-1.188639301042763,-9.99963708670815,12.03766022526263,-1
164,-3.376165980273994,-9.48136662141456,12.108888983991996,-1
165,-5.393038778777039,-8.491125220450298,12.180117742721361,-1
166,-7.138925104763371,-7.078781585174896,12.251346501450726,-1
167,-8.527107958935904,-5.315187334657281,12.32257526018009,-1
168,-9.488793042527538,-3.2886227917310404,12.393804018909455,-1
169,-9.976517870585518,-1.1003779955123711,12.46503277763882,-1
170,-9.96649395791811,1.140309864622433,12.536261536368183,-1
171,-9.459766507842906,3.321709563412492,12.607490295097548,-1
172,-8.482135098490234,5.335167283607584,12.678719053826914,-1
173,-7.082840677710258,7.080518571007299,12.749947812556279,-1
174,-5.332085661470314,8.47107123607069,12.821176571285642,-1
175,-3.3175120178243014,9.43791131806256,12.892405330015007,-1
176,-1.139814017562887,9.93331823964757,12.963634088744373,-1
177,-1.0,9.932215708451436,12.970018717002713,-1
178,-1.0,8.410799896800597,13.051575543738434,-1
179,-1.0,6.889384085149755,13.13313237047415,-1
180,-1.0,5.367968273498915,13.214689197209868,-1
181,-1.0,3.8465524618480758,13.296246023945589,-1
182,-1.0,2.325136650197236,13.377802850681308,-1
183,-1.0,0.8037208385463952,13.459359677417027,-1
184,-1.0,-0.7176949731044449,13.540916504152744,-1
185,-1.0,-2.239110784755285,13.622473330888464,-1
186,-1.0,-3.7605265964061236,13.704030157624182,-1
187,-1.0,-5.281942408056964,13.7855869843599,-1
188,-1.0,-6.803358219707806,13.86714381109562,-1
189,-1.0,-8.324774031358645,13.948700637831339,-1
190,-1.0,-9.846189843009483,14.030257464567057,-1
191,-3.159878006665967,-9.393204660898567,14.103294228414207,-1
192,-5.1626615971602146,-8.453106457968147,14.174522987143572,-1
193,-6.905923823474711,-7.092765398590546,14.245751745872937,-1
194,-8.303071018111048,-5.380445927836454,14.3169805046023,-1
